종목명,종목코드,섹터,수량,평단가,현재가,등락률,업데이트시각
크라운해태홀딩스,005740,기타2,6.0,5613.333333333333,5170.0,-8.17,09/17 14:53
동진쎄미켐,005290,반도체,1.0,41800.0,40800.0,0.37,09/17 14:53
풀무원,017810,기타2,5.0,9618.0,8860.0,0.8,09/17 14:53
하림,136480,기타2,15.0,2665.0666666666666,2640.0,0.19,09/17 14:53
골프존,215000,레저,2.0,35800.0,35500.0,0.85,09/17 14:53
앱클론,174900,바이오,1.0,27250.0,20150.0,-0.49,09/17 14:53
에스엘,005850,자동차,1.0,52400.0,50200.0,-0.2,09/17 14:53
SK텔레콤,017670,통신,1.0,99700.0,87400.0,-0.79,09/17 14:53
인바디,041830,의료기기,1.0,60100.0,58000.0,0.35,09/17 14:53
씨앤씨인터내셔널,352480,기타2,4.0,22512.5,21950.0,2.09,09/17 14:53
신도리코,029530,기타2,1.0,40800.0,38750.0,0.52,09/17 14:53
파라다이스,034230,레저,7.0,9988.57142857143,9730.0,-0.61,09/17 14:53
대신증권,003540,금융,2.0,27100.0,26300.0,-1.87,09/17 14:53
대상,001680,기타2,5.0,18364.0,17920.0,-1.27,09/17 14:53
카페24,042000,기타2,3.0,16140.0,15330.0,-0.52,09/17 14:53
OCI홀딩스,010060,화학,1.0,232000.0,201500.0,-0.74,09/17 14:53
바텍,043150,의료기기,3.0,18340.0,17590.0,0.06,09/17 14:53
실리콘투,257720,화장품,2.0,45675.0,42250.0,-1.17,09/17 14:53
한일시멘트,300720,건설,2.0,16660.0,16260.0,1.06,09/17 14:53
우양,103840,식품,20.0,1648.9,1568.0,-1.88,09/17 14:53
HK이노엔,195940,바이오,1.0,41200.0,39100.0,-0.13,09/17 14:53
에스티팜,237690,바이오,1.0,92200.0,91600.0,1.33,09/17 14:53
씨티케이,260930,화장품,17.0,2399.705882352941,2325.0,-2.31,09/17 14:53
NAVER,035420,인터넷,1.0,214000.0,198700.0,-1.39,09/17 14:53
카카오,035720,인터넷,1.0,34725.0,33550.0,0.15,09/17 14:53
엘앤씨바이오,290650,바이오,1.0,49400.0,46600.0,1.97,09/17 14:53
롯데칠성,005300,식품,1.0,97600.0,94800.0,-0.32,09/17 14:53
이구산업,025820,기타2,5.0,4345.0,4290.0,1.3,09/17 14:53
제일테크노스,038010,조선,5.0,5202.0,5080.0,0.59,09/17 14:53
서진시스템,178320,전기전자,1.0,35400.0,34400.0,-4.18,09/17 14:53
정다운,208140,식품,6.0,2285.0,2270.0,-0.22,09/17 14:53
금강공업,014280,건설,8.0,4444.375,4410.0,-0.68,09/17 14:53
블랙야크아이앤씨,478560,의류,8.0,3130.0,3040.0,0.33,09/17 14:53
빙그레,005180,식품,1.0,88400.0,86100.0,0.58,09/17 14:53
현대리바트,079430,건설,6.0,5690.0,5710.0,-0.17,09/17 14:53
선진,136490,식품,3.0,10230.0,10140.0,-1.36,09/17 14:53
진에어,272450,레저,4.0,5770.0,5870.0,0.34,09/17 14:53
동국제강,460860,기타2,4.0,9912.5,9880.0,-0.8,09/17 14:53
한독,002390,제약,3.0,8640.0,8540.0,-3.94,09/17 14:53
SGC에너지,005090,에너지,1.0,55600.0,54300.0,1.88,09/17 14:53
테크윙,089030,기타2,1.0,45850.0,45850.0,0.55,09/17 14:53
